ZH-CN_U0081_S0_2	<MIX> Hello 你好。
ZH-CN_U0081_S0_4	<CN> 对对对，您是邵先生是吗？
ZH-CN_U0081_S0_6	<CN> 我也很高兴。那我想问一下您，就是通常在闲暇时间会做一些什么事情呢？就是来放松自己。
ZH-CN_U0081_S0_8	<CN> 嗯嗯，好。
ZH-CN_U0081_S0_10	<CN> 那是男孩儿还是女孩儿呢？
ZH-CN_U0081_S0_14	<CN> 那您是那种，就是周一到周五上班，然后周六周日双休的那种工作吗？
ZH-CN_U0081_S0_16	<CN> <FIL/> 那其实我这边儿也是 <FIL/> 早晨大概九点上班，然后晚上周一是六点半，然后平时是六点也不是很忙，然后也是双休。
ZH-CN_U0081_S0_18	<CN> <SPK/> 也不算新鲜了，就是我现在是在那个 <FIL/> 银行工作，然后是后台数据分析岗，然后其实是去年才入职的，然后到现在差不多还还不到，还工作不到一年呢。然后。
ZH-CN_U0081_S0_20	<CN> 对对对，我是第一份儿工作，因为就可能工作时间比较晚吧。他们我看周围好多同事都是大学毕业，就 <FIL/> 工作了，然后我是读完研究生之后才工作的。
ZH-CN_U0081_S0_22	<CN> 谢谢。
ZH-CN_U0081_S0_24	<CN> 对对，我现在就是社交圈儿呢，可能就是一部分占大头的首先是同事吧，因为都是同一批入职的，然后可能就是十几个人有时候爬爬山啊，然后就是打打球。 <FIL/> 下周我们还有一个那个羽毛球比赛，所以这两天还在训练。
ZH-CN_U0081_S0_26	<CN> 嗯。
ZH-CN_U0081_S0_28	<CN> 对对，是是是在北京，那想了解一下，您就是平时的这个社交圈都有些谁呢？
ZH-CN_U0081_S0_32	<CN> 嗯。
ZH-CN_U0081_S0_34	<CN> 同事。
ZH-CN_U0081_S0_36	<CN> 嗯。
ZH-CN_U0081_S0_38	<CN> <FIL/> 那不错，居家好男人 <SPK/> 。
ZH-CN_U0081_S0_40	<CN> 嗯。
ZH-CN_U0081_S0_42	<CN> 嗯嗯嗯，十二岁，那是六年级了，是吗？
ZH-CN_U0081_S0_44	<CN> 嗯。
ZH-CN_U0081_S0_46	<CN> 嗯。
ZH-CN_U0081_S0_48	<CN> 嗯。
ZH-CN_U0081_S0_50	<CN> 那那也可以督促你好好学习了 <SPK/> 。
ZH-CN_U0081_S0_54	<CN> 嗯，那平时就是你们会一起做饭，还是谁家里是谁做饭呢？
ZH-CN_U0081_S0_56	<CN> 老人，哦，那您是就是一个大家庭一起就住在一起是吗？
ZH-CN_U0081_S0_58	<CN> 哦。
ZH-CN_U0081_S0_60	<CN> 嗯。
ZH-CN_U0081_S0_62	<CN> 啊，挺喜欢的，就是比较喜欢狗狗，然后但是就是一直想养，可能就是养过朋友的小宠物一段时间，但是家里人不太支持，因为收拾的话可能还是得妈妈收拾，所以她懒得去捡那个便便和那个毛，所以就不太想让我养，就是您您家养宠物了吗？
ZH-CN_U0081_S0_64	<CN> 嗯。
ZH-CN_U0081_S0_66	<CN> 啊。
ZH-CN_U0081_S0_68	<CN> 嗯。
ZH-CN_U0081_S0_70	<CN> <FIL/> 而且就平时的话还得下去遛狗，就是可能早上一次，晚上一次，就还挺累的。
ZH-CN_U0081_S0_72	<CN> 嗯。
ZH-CN_U0081_S0_74	<CN> 我现在就是没有办法养它，因为就可能住所不固定，而且就是在自助合租的话，可能它有那个明文规定，尽量是不要养宠物。因为你不知道你的合租舍友就是介不介意，或者害不害怕小猫小狗。所以一般是不太让养，就是养的话只能在家里，但是可能家里人也不是很支持，所以就没有机会。
ZH-CN_U0081_S0_76	<CN> 嗯，对，因为刚毕业嘛，我们这一批可能都是在北京，就是公司周围的房子租房。
ZH-CN_U0081_S0_78	<CN> 我是那个山西太原的，其实感觉山西挺多，来北京这边。
ZH-CN_U0081_S0_80	<EN> Yeah.
